sample,plot,treatment,species,light,diameter,rootdepth,rootdm,stemdm,leafdm,licorleafdm,totalleafdm,totaldm,rmf,smf,lmf,agmf,la,scsa,leafstemratio,notes
1,A,Drought,PIEN,38.2,3.62,16.6,0.2862,0.5757,0.9806,,0.9806,1.8425,0.155332429,0.312455902,0.532211669,0.844667571,73.918,0.102921717,718.1963361,
2,A,Drought,PIEN,38.2,3.46,21.9,0.3206,0.5263,0.3757,0.0971,0.4728,1.3197,0.242934,0.398802758,0.358263242,0.757066,36.744,0.094024727,390.7908202,
3,A,Drought,PIEN,38.2,4.39,17.5,0.258,0.6939,0.7294,0.065,0.7944,1.7463,0.147740938,0.397354406,0.454904656,0.852259062,61.629,0.151362719,407.161025,
4,A,Control,PIEN,38.2,2.69,17.5,0.2231,0.6105,0.8902,,0.8902,1.7238,0.129423367,0.354159415,0.516417218,0.870576633,65.628,0.056832197,1154.767967,
5,A,Control,PIEN,38.2,2.69,10.7,0.1253,0.1913,0.1428,0.017,0.1598,0.4764,0.263014274,0.401553317,0.33543241,0.736985726,13.981,0.056832197,246.0049208,
6,A,Control,PIEN,38.2,2.55,7.1,0.0459,0.2041,0.2468,,0.2468,0.4968,0.092391304,0.410829308,0.496779388,0.907608696,18.484,0.051070516,361.9309457,
7,B,Drought,PIEN,28.3,,,,,,,,,,,,,,,,over 5mm
8,B,Drought,PIEN,28.3,1.27,7.1,0.0241,0.0289,0.0395,,0.0395,0.0925,0.260540541,0.312432432,0.427027027,0.739459459,3.774,0.012667687,297.9233704,
9,B,Drought,PIEN,28.3,1.64,7.2,0.02,0.0252,0.0243,,0.0243,0.0695,0.287769784,0.362589928,0.349640288,0.712230216,2.493,0.021124069,118.0170354,
10,B,Drought,PIEN,28.3,1.35,11,0.0376,0.0141,0.04,,0.04,0.0917,0.410032715,0.153762268,0.436205016,0.589967285,4.047,0.014313882,282.7325343,
11,B,Drought,ABLA,28.3,,,,,,,,,,,,,,,,over 5mm
12,B,Drought,ABLA,28.3,2.8,14.7,0.083,0.0587,0.1111,,0.1111,0.2528,0.328322785,0.232199367,0.439477848,0.671677215,8.91,0.061575216,144.7010758,
13,B,Control,PIEN,28.3,,,,,,,,,,,,,,,,over 5mm
14,B,Control,PIEN,28.3,1.51,6.7,0.0437,0.0511,0.0744,,0.0744,0.1692,0.258274232,0.302009456,0.439716312,0.741725768,6.392,0.017907864,356.9381681,
15,B,Control,PIEN,28.3,1.53,6.5,0.0269,0.0345,0.0553,,0.0553,0.1167,0.23050557,0.29562982,0.47386461,0.76949443,4.931,0.018385386,268.2021528,
16,B,Control,PIEN,28.3,1.75,5.4,0.0531,0.0794,0.1182,,0.1182,0.2507,0.211806941,0.316713203,0.471479856,0.788193059,11.95,0.024052819,496.8232673,
17,B,Control,ABLA,28.3,4.33,32.3,0.593,1.2893,1.8287,,1.8287,3.711,0.159795203,0.34742657,0.492778227,0.840204797,134.826,0.147253516,915.6046214,
18,B,Control,ABLA,28.3,1.69,9.5,0.0958,0.0636,0.143,,0.143,0.3024,0.316798942,0.21031746,0.472883598,0.683201058,12.432,0.022431757,554.2142789,
19,C,Drought,PIEN,21.7,2.17,8,0.0405,0.0801,0.096,,0.096,0.2166,0.186980609,0.369806094,0.443213296,0.813019391,9.624,0.036983614,260.2233511,
20,C,Drought,PIEN,21.7,1.18,5.7,0.0134,0.0182,0.0311,,0.0311,0.0627,0.213716108,0.290271132,0.496012759,0.786283892,3.207,0.010935884,293.2547558,
21,C,Drought,PIEN,21.7,2.84,13.5,0.1639,0.2813,0.3677,,0.3677,0.8129,0.201623816,0.346045024,0.45233116,0.798376184,29.942,0.063347074,472.6658705,
22,C,Drought,PIEN,21.7,1.71,10.7,0.0421,0.0691,0.086,,0.086,0.1972,0.213488844,0.35040568,0.436105477,0.786511156,8.933,0.022965828,388.9692163,
23,C,Drought,PIEN,21.7,1.25,7.3,0.019,0.0244,0.0469,,0.0469,0.0903,0.210409745,0.27021041,0.519379845,0.789590255,4.442,0.012271846,361.9667237,
24,C,Drought,PIEN,21.7,0.71,3.1,0.0029,0.0022,0.0074,,0.0074,0.0125,0.232,0.176,0.592,0.768,0.794,0.003959192,200.5459628,
25,C,Drought,PIEN,21.7,1.18,9.6,0.0192,0.0128,0.026,,0.026,0.058,0.331034483,0.220689655,0.448275862,0.668965517,2.857,0.010935884,261.2500272,
26,C,Drought,PIEN,21.7,1.11,6.6,0.0058,0.0094,0.0138,,0.0138,0.029,0.2,0.324137931,0.475862069,0.8,1.591,0.009676891,164.4123136,
27,C,Drought,ABLA,21.7,0.64,8.3,0.0103,0.0085,0.0137,,0.0137,0.0325,0.316923077,0.261538462,0.421538462,0.683076923,1.565,0.003216991,486.4794647,
