sample,plot,treatment,species,diameter,date,time,solaradjustment,solartime,licornotes,S,E,A,WUE,gsw,notes
2,A,Drought,PIEN,3.46,9/15/2019,8:56,0:57,7:59,Separate LICOR leaf sample,7.038,0.414099648,1.814228229,4.38113927,0.015485033,
4,A,Ambient,PIEN,2.69,9/15/2019,9:24,0:57,8:27,"LICOR leaves aggregated with full leaf sample, so no LICOR sample",,,,,,no sample
9,B,Drought,PIEN,1.64,9/15/2019,9:50,0:57,8:53,LICOR leaves = entire leaf sample,2.493,0.65477802,2.633115384,4.02138634,0.022944594,
15,B,Ambient,PIEN,1.53,9/15/2019,9:43,0:57,8:46,LICOR leaves = entire leaf sample,4.931,0.268092069,0.398969753,1.488181858,0.00896709,
24,C,Drought,PIEN,0.71,9/15/2019,10:08,0:57,9:11,LICOR leaves = entire leaf sample,0.794,0.646902561,-0.397497597,-0.614462858,0.02122743,
25,C,Drought,PIEN,1.18,9/15/2019,9:57,0:57,9:00,LICOR leaves = entire leaf sample,2.857,0.36104755,1.082913905,2.999366443,0.011572806,
28,C,Drought,ABLA,1.46,9/15/2019,10:03,0:57,9:06,LICOR leaves = entire leaf sample,3.115,0.229233868,0.066906504,0.291870064,0.00723846,
35,C,Ambient,PIEN,1.27,9/15/2019,10:22,0:57,9:25,LICOR leaves = entire leaf sample,2.864,0.410553385,0.348145744,0.84799141,0.013095469,
39,C,Ambient,PIEN,1.11,9/15/2019,10:16,0:57,9:19,LICOR leaves = entire leaf sample,0.871,1.191029135,2.134620984,1.792249175,0.040499713,
42,C,Ambient,ABLA,1.73,9/15/2019,10:13,0:57,9:16,LICOR leaves = entire leaf sample,2.75,0.432610573,1.041555815,2.407606007,0.01402783,
48,D,Drought,ABLA,2.6,9/15/2019,10:28,0:57,9:31,Separate LICOR leaf sample,7.012,0.189965983,0.805568684,4.240594406,0.005885481,
50,D,Ambient,ABLA,2.78,9/15/2019,10:33,0:57,9:36,Separate LICOR leaf sample,4.266,0.288537705,1.340705477,4.646552085,0.009168615,
52,E,Drought,PIEN,2.81,9/15/2019,10:41,0:57,9:44,Separate LICOR leaf sample,5.037,0.17575661,0.402208809,2.28844201,0.005471932,
58,E,Ambient,PIEN,4.42,9/15/2019,10:44,0:57,9:47,Separate LICOR leaf sample,5.091,0.231166518,0.92809843,4.014847989,0.007261869,
59,F,Drought,ABLA,2.54,9/15/2019,10:59,0:57,10:02,LICOR leaves = entire leaf sample,5.665,0.184683713,0.013790397,0.074670348,0.005722313,
64,F,Ambient,ABLA,2.32,9/15/2019,11:04,0:57,10:07,Separate LICOR leaf sample,3.872,0.403503535,1.822587794,4.516906634,0.012944313,
65,G,Drought,PIEN,3.8,9/15/2019,11:14,0:57,10:17,Separate LICOR leaf sample,2.257,0.466937643,0.639562475,1.369695686,0.01333193,
67,G,Ambient,PIEN,3.43,9/15/2019,11:11,0:57,10:14,Separate LICOR leaf sample,3.174,0.842949022,3.859426385,4.578481361,0.024319329,
77,I,Drought,PIEN,1.35,9/15/2019,11:26,0:57,10:29,LICOR leaves = entire leaf sample,5.312,0.257920306,0.221951384,0.860542499,0.006704749,
79,I,Drought,PIEN,0.87,9/15/2019,11:30,0:57,10:33,LICOR leaves = entire leaf sample,0.406,2.186851389,-2.205157847,-1.008371149,0.063858499,
82,I,Drought,ABLA,0.84,9/15/2019,11:22,0:57,10:25,LICOR leaves = entire leaf sample,1.495,1.03657531,2.480039879,2.39253227,0.028763075,
83,I,Drought,ABLA,2.02,9/15/2019,11:36,0:57,10:39,Separate LICOR leaf sample,2.932,0.388758394,1.97748174,5.086659911,0.010305419,
86,I,Ambient,PIEN,0.89,9/15/2019,11:41,0:57,10:44,LICOR leaves = entire leaf sample,0.53,2.018479471,1.499591939,0.742931479,0.058684778,
87,I,Ambient,PIEN,1.32,9/15/2019,11:53,0:57,10:56,LICOR leaves = entire leaf sample,1.678,0.977896781,1.872951616,1.915285594,0.027023854,
90,I,Ambient,ABLA,1.42,9/15/2019,11:50,0:57,10:53,LICOR leaves = entire leaf sample,4.459,0.672618918,2.424812291,3.605031359,0.01816177,
91,I,Ambient,ABLA,0.78,9/15/2019,11:44,0:57,10:47,LICOR leaves = entire leaf sample,0.908,1.258906808,1.513060336,1.201884306,0.035170798,
99,J,Drought,ABLA,3.13,9/15/2019,12:00,0:57,11:03,Separate LICOR leaf sample,3.584,0.295779591,0.258888181,0.875273983,0.007419585,
101,J,Drought,ABLA,3.86,9/15/2019,12:06,0:57,11:09,Separate LICOR leaf sample,3.716,0.289877072,0.637823824,2.200325189,0.007123448,
103,J,Drought,ABLA,1.1,9/15/2019,12:10,0:57,11:13,LICOR leaves = entire leaf sample,0.687,1.42781712,1.943795138,1.361375425,0.037678778,
105,J,Ambient,ABLA,2.37,9/15/2019,12:17,0:57,11:20,Separate LICOR leaf sample,2.528,0.489989165,1.296152745,2.645268176,0.012267072,
106,J,Ambient,ABLA,3.76,9/15/2019,,,,Separate LICOR leaf sample. Time is 12:22 (from log file),5.292,0.649769664,2.847140828,4.381769394,0.015269085,
114,J,Ambient,ABLA,1.55,9/15/2019,12:12,0:57,11:15,LICOR leaves = entire leaf sample,1.263,0.980192799,-0.190354388,-0.194200966,0.025358637,
180,N,Drought,PIEN,0.96,9/16/2019,12:40,0:57,11:43,LICOR leaves = entire leaf sample,1.585,1.992823211,-0.063807435,-0.032018613,0.067756846,
187,N,Drought,ABLA,1.03,9/16/2019,12:47,0:57,11:50,LICOR leaves = entire leaf sample,2.553,0.903757115,0.555374696,0.614517647,0.028500017,
205,O,Drought,PIEN,2.26,9/16/2019,12:13,0:57,11:16,Separate LICOR leaf sample,4.243,0.199372715,-0.154837449,-0.776623066,0.005840411,
207,O,Drought,ABLA,1.91,9/16/2019,12:03,0:57,11:06,LICOR leaves = entire leaf sample,3.771,0.2864823,-0.26811417,-0.93588389,0.008476033,
209,O,Drought,ABLA,4.39,9/16/2019,12:21,0:57,11:24,Separate LICOR leaf sample,1.333,0.74145786,1.008713195,1.360445751,0.022926962,
212,O,Ambient,PIEN,2.57,9/16/2019,12:17,0:57,11:20,Separate LICOR leaf sample,3.286,0.375345871,1.557464465,4.149411482,0.01123587,
