year,date,plot,treatment,vwc
2018,7/22/2018,A,Ambient,12.5
2018,7/22/2018,B,Ambient,13.13333333
2018,7/22/2018,C,Ambient,5.833333333
2018,7/22/2018,D,Ambient,10.8
2018,7/22/2018,E,Ambient,9.033333333
2018,7/22/2018,F,Ambient,4.866666667
2018,7/22/2018,G,Ambient,7.733333333
2018,7/22/2018,H,Ambient,4.833333333
2018,7/22/2018,I,Ambient,7.233333333
2018,7/22/2018,J,Ambient,8.866666667
2018,7/22/2018,K,Ambient,14.93333333
2018,7/22/2018,L,Ambient,8.433333333
2018,7/22/2018,M,Ambient,9.333333333
2018,7/22/2018,N,Ambient,4.833333333
2018,7/22/2018,O,Ambient,6.366666667
2018,7/22/2018,P,Ambient,6.8
2018,7/22/2018,Q,Ambient,11.03333333
2018,7/22/2018,R,Ambient,6.766666667
2018,7/22/2018,S,Ambient,5
2018,7/22/2018,T,Ambient,4.833333333
2018,7/22/2018,A,Drought,11.06666667
2018,7/22/2018,B,Drought,10.26666667
2018,7/22/2018,C,Drought,6.2
2018,7/22/2018,D,Drought,7.1
2018,7/22/2018,E,Drought,7.9
2018,7/22/2018,F,Drought,4
2018,7/22/2018,G,Drought,5.7
2018,7/22/2018,H,Drought,4.466666667
2018,7/22/2018,I,Drought,6.366666667
2018,7/22/2018,J,Drought,8.2
2018,7/22/2018,K,Drought,7.566666667
2018,7/22/2018,L,Drought,7.8
2018,7/22/2018,M,Drought,6.766666667
2018,7/22/2018,N,Drought,3.933333333
2018,7/22/2018,O,Drought,5.466666667
2018,7/22/2018,P,Drought,5.9
2018,7/22/2018,Q,Drought,6.8
2018,7/22/2018,R,Drought,7.033333333
2018,7/22/2018,S,Drought,4.733333333
2018,7/22/2018,T,Drought,4.2
2018,7/27/2018,A,Ambient,17.13333333
2018,7/27/2018,B,Ambient,18.03333333
2018,7/27/2018,C,Ambient,10.36666667
2018,7/27/2018,D,Ambient,7.666666667
2018,7/27/2018,E,Ambient,14.7
2018,7/27/2018,F,Ambient,9.733333333
2018,7/27/2018,G,Ambient,12.96666667
2018,7/27/2018,H,Ambient,10.73333333
2018,7/27/2018,I,Ambient,13.03333333
2018,7/27/2018,J,Ambient,6.3
2018,7/27/2018,K,Ambient,19.76666667
2018,7/27/2018,L,Ambient,18.2
2018,7/27/2018,M,Ambient,8.366666667
2018,7/27/2018,N,Ambient,6.1
2018,7/27/2018,O,Ambient,13.33333333
2018,7/27/2018,P,Ambient,10.73333333
2018,7/27/2018,Q,Ambient,17.4
2018,7/27/2018,R,Ambient,13.96666667
2018,7/27/2018,S,Ambient,18.8
2018,7/27/2018,T,Ambient,8.566666667
2018,7/27/2018,A,Drought,12.96666667
2018,7/27/2018,B,Drought,16.96666667
2018,7/27/2018,C,Drought,10.13333333
2018,7/27/2018,D,Drought,6.2
2018,7/27/2018,E,Drought,7.966666667
2018,7/27/2018,F,Drought,9.2
2018,7/27/2018,G,Drought,4.333333333
2018,7/27/2018,H,Drought,8.866666667
2018,7/27/2018,I,Drought,5.566666667
2018,7/27/2018,J,Drought,5.9
2018,7/27/2018,K,Drought,6.666666667
2018,7/27/2018,L,Drought,9.7
2018,7/27/2018,M,Drought,7.766666667
2018,7/27/2018,N,Drought,4.533333333
2018,7/27/2018,O,Drought,6.666666667
2018,7/27/2018,P,Drought,6.2
2018,7/27/2018,Q,Drought,5.666666667
2018,7/27/2018,R,Drought,8.066666667
2018,7/27/2018,S,Drought,5.933333333
2018,7/27/2018,T,Drought,3.866666667
2018,8/3/2018,A,Ambient,11.66666667
2018,8/3/2018,B,Ambient,12.76666667
2018,8/3/2018,C,Ambient,6.933333333
2018,8/3/2018,D,Ambient,6.9
2018,8/3/2018,E,Ambient,8.833333333
2018,8/3/2018,F,Ambient,5.2
2018,8/3/2018,G,Ambient,6.9
2018,8/3/2018,H,Ambient,4.333333333
2018,8/3/2018,I,Ambient,6.833333333
2018,8/3/2018,J,Ambient,5
2018,8/3/2018,K,Ambient,16.66666667
2018,8/3/2018,L,Ambient,9.4
2018,8/3/2018,M,Ambient,9.233333333
2018,8/3/2018,N,Ambient,4.633333333
2018,8/3/2018,O,Ambient,6.566666667
2018,8/3/2018,P,Ambient,6.2
2018,8/3/2018,Q,Ambient,6.333333333
2018,8/3/2018,R,Ambient,8.233333333
2018,8/3/2018,S,Ambient,6.6
2018,8/3/2018,T,Ambient,6
2018,8/3/2018,A,Drought,7.833333333
2018,8/3/2018,B,Drought,11.36666667
2018,8/3/2018,C,Drought,4.933333333
2018,8/3/2018,D,Drought,4.666666667
2018,8/3/2018,E,Drought,6.666666667
2018,8/3/2018,F,Drought,4.333333333
2018,8/3/2018,G,Drought,4.6
2018,8/3/2018,H,Drought,3.633333333
2018,8/3/2018,I,Drought,3.1
2018,8/3/2018,J,Drought,7.333333333
2018,8/3/2018,K,Drought,7.1
2018,8/3/2018,L,Drought,5.933333333
2018,8/3/2018,M,Drought,4.666666667
2018,8/3/2018,N,Drought,3.633333333
2018,8/3/2018,O,Drought,6.8
2018,8/3/2018,P,Drought,4.933333333
2018,8/3/2018,Q,Drought,3.766666667
2018,8/3/2018,R,Drought,5.266666667
2018,8/3/2018,S,Drought,3.333333333
2018,8/3/2018,T,Drought,3.366666667
2018,8/13/2018,A,Ambient,5.266666667
2018,8/13/2018,B,Ambient,6.5
2018,8/13/2018,C,Ambient,4.733333333
2018,8/13/2018,D,Ambient,4.933333333
2018,8/13/2018,E,Ambient,5.866666667
2018,8/13/2018,F,Ambient,3.266666667
2018,8/13/2018,G,Ambient,4.7
2018,8/13/2018,H,Ambient,3.4
2018,8/13/2018,I,Ambient,2.866666667
2018,8/13/2018,J,Ambient,4
2018,8/13/2018,K,Ambient,8.566666667
2018,8/13/2018,L,Ambient,6.1
2018,8/13/2018,M,Ambient,4.566666667
2018,8/13/2018,N,Ambient,5.866666667
2018,8/13/2018,O,Ambient,4.866666667
2018,8/13/2018,P,Ambient,4.366666667
2018,8/13/2018,Q,Ambient,5.433333333
2018,8/13/2018,R,Ambient,4.5
2018,8/13/2018,S,Ambient,5.133333333
2018,8/13/2018,T,Ambient,4
2018,8/13/2018,A,Drought,5.2
2018,8/13/2018,B,Drought,6.333333333
2018,8/13/2018,C,Drought,4.466666667
2018,8/13/2018,D,Drought,4.8
2018,8/13/2018,E,Drought,4.8
2018,8/13/2018,F,Drought,2.466666667
2018,8/13/2018,G,Drought,3.133333333
2018,8/13/2018,H,Drought,3.166666667
2018,8/13/2018,I,Drought,2.266666667
2018,8/13/2018,J,Drought,3.5
2018,8/13/2018,K,Drought,4.566666667
2018,8/13/2018,L,Drought,5.7
2018,8/13/2018,M,Drought,4.833333333
2018,8/13/2018,N,Drought,3.233333333
2018,8/13/2018,O,Drought,3.666666667
2018,8/13/2018,P,Drought,3.6
2018,8/13/2018,Q,Drought,3.766666667
2018,8/13/2018,R,Drought,2.8
2018,8/13/2018,S,Drought,4
2018,8/13/2018,T,Drought,3.466666667
2018,8/19/2018,A,Ambient,7.7
2018,8/19/2018,B,Ambient,6.233333333
2018,8/19/2018,C,Ambient,4.666666667
2018,8/19/2018,D,Ambient,5.333333333
2018,8/19/2018,E,Ambient,5.8
2018,8/19/2018,F,Ambient,3.033333333
2018,8/19/2018,G,Ambient,3.933333333
2018,8/19/2018,H,Ambient,3.133333333
2018,8/19/2018,I,Ambient,3.966666667
2018,8/19/2018,J,Ambient,4.166666667
2018,8/19/2018,K,Ambient,8.266666667
2018,8/19/2018,L,Ambient,5.833333333
2018,8/19/2018,M,Ambient,4.866666667
2018,8/19/2018,N,Ambient,5.1
2018,8/19/2018,O,Ambient,4.633333333
2018,8/19/2018,P,Ambient,3.933333333
2018,8/19/2018,Q,Ambient,4.833333333
2018,8/19/2018,R,Ambient,4.966666667
2018,8/19/2018,S,Ambient,4.2
2018,8/19/2018,T,Ambient,4.033333333
2018,8/19/2018,A,Drought,6.633333333
2018,8/19/2018,B,Drought,4.3
2018,8/19/2018,C,Drought,4.533333333
2018,8/19/2018,D,Drought,3.4
2018,8/19/2018,E,Drought,3.366666667
2018,8/19/2018,F,Drought,3.2
2018,8/19/2018,G,Drought,2.333333333
2018,8/19/2018,H,Drought,2.566666667
2018,8/19/2018,I,Drought,3.366666667
2018,8/19/2018,J,Drought,3.3
2018,8/19/2018,K,Drought,3.6
2018,8/19/2018,L,Drought,4.066666667
2018,8/19/2018,M,Drought,4.566666667
2018,8/19/2018,N,Drought,2.833333333
2018,8/19/2018,O,Drought,3.166666667
2018,8/19/2018,P,Drought,2.8
2018,8/19/2018,Q,Drought,4.166666667
2018,8/19/2018,R,Drought,2.966666667
2018,8/19/2018,S,Drought,3.533333333
2018,8/19/2018,T,Drought,7
2018,8/27/2018,A,Ambient,5.566666667
2018,8/27/2018,B,Ambient,5.666666667
2018,8/27/2018,C,Ambient,3.8
2018,8/27/2018,D,Ambient,3.9
2018,8/27/2018,E,Ambient,5
2018,8/27/2018,F,Ambient,4.533333333
2018,8/27/2018,G,Ambient,4.166666667
2018,8/27/2018,H,Ambient,5.566666667
2018,8/27/2018,I,Ambient,4.433333333
2018,8/27/2018,J,Ambient,4.3
2018,8/27/2018,K,Ambient,7.7
2018,8/27/2018,L,Ambient,4.2
2018,8/27/2018,M,Ambient,3.366666667
2018,8/27/2018,N,Ambient,2.966666667
2018,8/27/2018,O,Ambient,5.866666667
2018,8/27/2018,P,Ambient,3.966666667
2018,8/27/2018,Q,Ambient,2.333333333
2018,8/27/2018,R,Ambient,5.466666667
2018,8/27/2018,S,Ambient,5.3
2018,8/27/2018,T,Ambient,4.666666667
2018,8/27/2018,A,Drought,5.233333333
2018,8/27/2018,B,Drought,5.533333333
2018,8/27/2018,C,Drought,3
2018,8/27/2018,D,Drought,1.9
2018,8/27/2018,E,Drought,3.233333333
