year,date,vwc_difference,vwc_cumulative
2018,7/22/2018,1.585,1.585
2018,7/27/2018,5.136666667,6.721666667
2018,8/3/2018,2.398333333,9.12
2018,8/13/2018,0.958333333,10.07833333
2018,8/19/2018,1.146666667,11.225
2018,8/27/2018,1.745,12.97
2018,9/2/2018,1.081666667,14.05166667
2019,7/22/2019,4.511666667,4.511666667
2019,7/29/2019,2.591666667,7.103333333
2019,8/7/2019,3.848333333,10.95166667
2019,8/20/2019,1.07,12.02166667
2019,8/26/2019,0.545,12.56666667
2019,9/3/2019,0.14,12.70666667
2019,9/9/2019,3.255,15.96166667
2019,9/15/2019,1.358333333,17.32
